id,ttm_ason,mcap,ev,pe,pbv,divyield,eps,book_value,roa_ttm,roe_ttm,roce_ttm,ebit_ttm,ebitda_ttm,ev_sales_ttm,ev_ebitda_ttm,net_income_margin_ttm,gross_income_margin_ttm,asset_turnover_ttm,current_ratio_ttm,debt_equity_ttm,sales_total_assets_ttm,net_debt_ebitda_ttm,ebitda_margin_ttm,total_share_holders_equity_ttm,short_term_debt_ttm,long_term_debt_ttm,shares_outstanding,eps_diluted,net_sales,net_profit,annual_dividend,cogs,peg_ratio_ttm,dividend_payout_ttm,company_id
796,202103,292.78,253.9324,9.56,0.64,0,3.43,51.0793187,4.423433337194486,6.7142,11.0548,53.699999999999996,64.25999999999999,0.448889674556736,3.9516402116402123,5.400484364227756,10.470398981774471,0.8190808525425693,1.3245,0.0678,0.8190808525425693,-0.8613445378151261,11.359578567766796,454.93,17.96,12.9,89260828,3.43,565.69,30.549999999999997,0,142.94,-0.28910172176066967,NULL,1074
820,201712,1.39,92.4087,0,0,0,0,-71.6688888,-110.18722466960354,18.8915,107.5398,-20.12,-19.070000000000004,660.0621428571428,-4.845762978500261,-14292.857142857141,-13614.285714285714,0.007709251101321587,0.0369,-0.8274,0.007709251101321587,-4.772941793392763,-13621.428571428572,-110.87,91.73,0,15480840,0,0.12,-20.01,0,-0.11,0,0,1114
848,202303,8.9,1210.61,0,0,0,0,-364.3046696,-26.15424559185424,16.2273,-7.0032,-33.5,-11.51,60530.49999999999,-105.17897480451781,-1158450,-1048500,0.00002257693089201454,0.921,-1.3346,0.00002257693089201454,-165.30582102519548,-57550,-1427.71,1905.45,0,39185675,0,0.02,-231.69,0,9.83,0,0,1167
850,200909,1.31,NULL,0,0,0,0,-56.2035348,0,NULL,NULL,-1.39,-1.29,0,NULL,0,0,0,NULL,NULL,0,NULL,0,NULL,NULL,NULL,2617685,0,0,-1.39,0,1.1900000000000002,0,0,1174
860,201803,2.62,NULL,0,0,0,0,-7.6167226,-1.782178217821782,0.0004,0.0005,-0.18,-0.18,NULL,NULL,-179.99999999999997,-179.99999999999997,0.009900990099009901,0.3202,-0.145,0.009900990099009901,-20,-179.99999999999997,-24.879999999999995,3.62,0,0,0,0.1,-0.18,0,0.04,0,0,1191
861,201712,1.82,206.6576356,0.24,0,0,10.28,-249.9397174,4.843437708194537,9.7369003,-11.0903,-5.1000000000000005,-2.7,1.5408413033104682,-76.53986503703703,5.420518938264241,7.254697286012527,0.8935376415722852,1.49,-1.41,0.8935376415722852,-77.28518518518517,-2.0131225767968983,-148.91,209.47,0.03,7352700,10.28,134.12,7.27,0,102.96999999999998,-0.001917018681184047,0,1192
871,201712,1.81,NULL,0,0,0,0,-2.3647086,-5.555555555555556,28.614,-24.7237,-0.19,-0.030000000000000013,0,NULL,0,0,0,0.9051,0,0,0.3333333333333332,0,-0.5299999999999976,0,0,0,0,0,-0.19,0,0.04,0,0,1203
884,201706,4.09,NULL,0,0,0,0,-11.8088406,-7.719094602437609,6.5960999,3.5848,-0.08000000000000002,-0.07,0,NULL,0,0,0,0.02,-0.86,0,-251.85714285714283,0,-20.439999999999998,17.64,0,17315775,0,0,-1.33,0,0,0,0,1226
893,201912,5.9,479.0166,0,0,0,0,-17.2180546,-6.170805159384055,1.9954,-150.7437,-10.86,-6.930000000000001,153.04044728434505,-69.1221645021645,-346.96485623003196,-221.40575079872207,0.017785101426217396,0.1404,-1.0132,0.017785101426217396,-68.26984126984127,-221.40575079872207,-483.54,263.32,226.61,280831852,0,3.13,-10.86,0,5.140000000000001,0,0,1247
907,201303,4.79,NULL,0,0,0,0,-66.5413643,-23.3659289758106,12.0138,25.900499,-4.529999999999999,-2.34,NULL,NULL,-30.59299191374663,-15.835579514824799,0.7637673700463201,0.12,-0.54,0.7637673700463201,-8.5982905982906,-15.768194070080863,-37.790000000000006,20.3,0,6890000,0,14.84,-4.54,0,15.209999999999999,0,0,1288
917,201512,9.65,NULL,0,0,0,0,-21.2498062,0,NULL,NULL,-4.5,-1.85,NULL,NULL,-18.870174392606945,-14.920256372037564,0,NULL,NULL,0,NULL,-2.7574899388880607,NULL,NULL,NULL,0,0,67.09,-12.66,0,20.43,0,0,1310
924,201912,4.29,4.2975,0,0,0,0,-5.3577585,-128.57142857142856,3.0939,8.5166,-0.09,-0.09,0,-47.75000000000001,0,0,0,0.0117,-0.0093,0,-0.3333333333333333,0,-6.43,0,0.06,12316866,0,0,-0.09,0,0,0,0,1330
934,201703,2.13,40.0672,0,0,0,0,-147.4587068,-20.091324200913242,2.1359999,16.155399,-0.6,-0.34,17.728849557522125,-117.84470588235293,-38.93805309734513,-27.433628318584073,0.5159817351598173,0.27,-0.91,0.5159817351598173,-111.55882352941175,-15.04424778761062,-41.8,37.98,0,2835029,0,2.26,-0.8799999999999999,0,1.58,0,0,1349
